gene1,gene2,statistic,pvalue
NCKAP1L,TLR1,0.8663575034035628,0.0001277324139886
NCKAP1L,TLR6,0.9100087157616435,1.582792705450207e-05
NCKAP1L,TMEM119,0.9364537035575312,2.459521057907892e-06
NCKAP1L,TMIGD2,0.8546449275672664,0.0001980337955003
NCKAP1L,TNFAIP8L2,0.8654216714374494,0.0001324809176565
NCKAP1L,TREM2,0.9279876599758912,4.812872482117355e-06
NCKAP1L,WDFY4,0.9325543548485092,3.386827230261987e-06
NFIA-AS2,TMIGD2,0.8655241724975175,0.0001319540494456
NFIA-AS2,WDR49,0.8847477166950782,5.870136160142215e-05
NINJ2,NIPAL4,0.9671345506078192,6.946582319954852e-08
NINJ2,NXPH4,0.8595934182813629,0.0001653230645531
NINJ2,PACC1,0.9637917373965912,1.17582981967898e-07
NINJ2,PLD1,0.8947488011924493,3.634628995305439e-05
NINJ2,PLXNB3,0.9270504655945052,5.1581382275242665e-06
NINJ2,PPP1R14A,0.8834230516199053,6.23446337270816e-05
NINJ2,PRR18,0.916077857648665,1.0910252143532325e-05
NINJ2,PTPRH,0.8613054320815358,0.0001550690388079
NINJ2,RNF125,0.8900485195631986,4.578919585960161e-05
NINJ2,RTKN,0.92212128993855,7.319384423588724e-06
NINJ2,S1PR5,0.8919894842526852,4.167689854032557e-05
